X,P1,P2,P3,P4,P5
9.495682819999999538e+02,3.050461181640625000e+03,3.384895019531250000e+03,3.846368164062500000e+03,3.851044921875000000e+03,1.837063476562500000e+03
9.532069669999999633e+02,2.152619628906250000e+03,2.257497314453125000e+03,3.896569091796875000e+03,3.922534179687500000e+03,2.029947509765625000e+03
9.568456519999999728e+02,2.731954101562500000e+03,2.733632324218750000e+03,3.386763183593750000e+03,3.635826904296875000e+03,1.546224975585937500e+03
9.604843369999999823e+02,1.970747802734375000e+03,2.529043945312500000e+03,3.203796386718750000e+03,3.513725585937500000e+03,1.903453613281250000e+03
9.641230219999999917e+02,2.574052246093750000e+03,2.843686035156250000e+03,3.123319091796875000e+03,3.601477050781250000e+03,1.668844482421875000e+03
9.677617060000000038e+02,2.635304443359375000e+03,2.853447265625000000e+03,3.126853515625000000e+03,3.164250000000000000e+03,1.762039550781250000e+03
9.714003910000000133e+02,2.322953613281250000e+03,2.905403808593750000e+03,3.178226074218750000e+03,3.559855712890625000e+03,1.891000244140625000e+03
9.750390760000000228e+02,2.357672119140625000e+03,2.883123779296875000e+03,3.058148193359375000e+03,3.241683105468750000e+03,1.809616210937500000e+03
9.786777610000000323e+02,2.912066894531250000e+03,2.650977783203125000e+03,3.061171142578125000e+03,3.229273681640625000e+03,1.507440307617187500e+03
9.823164450000000443e+02,2.471666259765625000e+03,2.604393554687500000e+03,3.065250488281250000e+03,3.384992919921875000e+03,1.711459960937500000e+03
9.859551300000000538e+02,2.500356201171875000e+03,2.717388916015625000e+03,2.970040771484375000e+03,3.224580810546875000e+03,1.927188598632812500e+03
9.895938149999999496e+02,2.817948486328125000e+03,2.825182861328125000e+03,3.019760986328125000e+03,3.276655029296875000e+03,1.720875122070312500e+03
9.932324999999999591e+02,2.698027587890625000e+03,2.970756591796875000e+03,2.854338623046875000e+03,3.108078857421875000e+03,1.871031127929687500e+03
